match_id,t1_xi_bat_avg,t2_xi_bat_avg,t1_xi_bat_sr,t2_xi_bat_sr,t1_xi_bowl_wpm,t2_xi_bowl_wpm,t1_xi_bowl_er,t2_xi_bowl_er,xi_bat_diff,xi_sr_diff,xi_bowl_diff,xi_er_diff
1422122,25.5,29.45,142.40964144772252,141.56445835315782,1.15625,1.3616071428571428,8.208644955417942,7.955132890365448,-3.9499999999999993,0.8451830945647032,-0.2053571428571428,-0.2535120650524938
1422123,38.375,23.125,164.36855842815595,150.63921618848,1.4166666666666667,0.8125,8.841536672140121,9.569159836065573,15.25,13.729342239675958,0.6041666666666667,0.7276231639254522
1422124,27.925,30.775,145.16066241668196,149.5363031117413,1.1607142857142856,0.6875,8.718405242839172,7.919971983462083,-2.849999999999998,-4.375640695059332,0.4732142857142856,-0.7984332593770889
1422125,23.05,36.0,141.7994115554917,156.98437604949646,1.6666666666666667,1.3333333333333333,8.072772523643604,9.18787878787879,-12.95,-15.18496449400476,0.3333333333333335,1.1151062642351857
1422126,28.55,21.325,147.5710777426347,152.52162233901365,0.88125,0.75,9.179294561432691,9.801498127340825,7.225000000000001,-4.950544596378933,0.13124999999999998,0.6222035659081335
1422127,27.1,18.075,144.78984116831893,139.43066009581645,1.0,1.1875,8.276726030517953,7.912490523788895,9.025000000000002,5.35918107250248,-0.1875,-0.3642355067290577
1422128,31.125,22.95,146.23130039968987,141.15976991302966,0.9553571428571428,1.1026785714285714,8.05133616601777,7.9885253436186,8.175,5.071530486660208,-0.1473214285714286,-0.06281082239916902
1422129,30.130000000000003,28.55,141.784218816762,141.69078587304818,1.1375,1.15625,7.980864683937101,8.616275879023043,1.5800000000000018,0.09343294371382171,-0.018750000000000044,0.6354111950859416
1422130,31.575,31.75,153.42837522812775,151.9147519147519,0.7946428571428571,1.21875,9.044351015193252,9.207892518186634,-0.1750000000000007,1.5136233133758594,-0.4241071428571429,0.16354150299338244
1422131,21.15,21.975,139.93033293172078,139.22051839169166,1.28125,1.71875,8.097223659969988,7.603074429853953,-0.8250000000000028,0.7098145400291287,-0.4375,-0.49414923011603484
1422132,21.825,27.05,149.52594340063433,151.6300059952812,1.125,1.03125,9.830020080321285,8.14558591056443,-5.225000000000001,-2.1040625946468765,0.09375,-1.6844341697568552
1422133,28.625,32.75,141.3273623675714,156.75461629539552,1.3125,0.625,8.081880017259907,8.311761520023062,-4.125,-15.427253927824125,0.6875,0.22988150276315444
1422134,22.8,25.876666666666672,142.453408840792,141.77466709722302,1.09375,1.1875,8.277325608049516,8.124423825130243,-3.0766666666666715,0.6787417435689918,-0.09375,-0.15290178291927248
1422135,32.75,24.621428571428574,151.87291382830747,151.53122811557586,1.375,1.125,8.495256544557394,9.027043615413223,8.128571428571426,0.34168571273161774,0.25,0.5317870708558292
1422136,28.125,25.725,149.26767583910444,150.2251283288435,0.96875,1.1770833333333333,7.934831048934956,8.439838166250576,2.3999999999999986,-0.9574524897390688,-0.20833333333333326,0.5050071173156203
1422137,31.125,24.875,147.48315713036868,148.32212660164467,0.71875,1.4479166666666667,8.143105989480803,7.837202420879427,6.25,-0.8389694712759876,-0.7291666666666667,-0.30590356860137646
1422138,30.25,25.916666666666664,158.62454119953787,139.94453800168088,1.34375,1.15625,8.523369585938692,8.33491833803718,4.333333333333336,18.68000319785699,0.1875,-0.18845124790151146
1422139,30.432142857142857,30.075,141.29099984589894,148.90400017264525,1.21875,1.2604166666666667,8.370725160943685,8.992158984806045,0.35714285714285765,-7.613000326746317,-0.04166666666666674,0.6214338238623593
1426260,26.5,27.525,157.07797514331656,148.64895335607804,1.2083333333333333,0.93125,7.578762699109495,8.478175531928068,-1.0249999999999986,8.429021787238526,0.27708333333333324,0.8994128328185731
1426261,32.59166666666667,24.55,159.6547165013984,151.82115825063747,1.0729166666666667,1.125,8.390791885460661,8.927118474230937,8.041666666666668,7.8335582507609445,-0.05208333333333326,0.536326588770276
1426262,27.8,29.85,148.31186868686868,151.8756057022439,0.96875,1.34375,8.099840360434303,8.799847094303935,-2.0500000000000007,-3.56373701537521,-0.375,0.7000067338696319
1426263,29.375,30.075,146.09085100681736,182.6932287201514,1.1458333333333333,1.40625,8.200980151246153,8.892121490422461,-0.6999999999999993,-36.60237771333405,-0.26041666666666674,0.6911413391763084
1426264,30.55,28.155714285714282,141.347161313263,145.48635757543497,1.3333333333333333,1.03125,8.053090175395441,8.336099140921398,2.3942857142857186,-4.139196262171964,0.30208333333333326,0.28300896552595667
1426265,28.869285714285716,26.175,157.1924636852749,148.52313769626247,1.1875,1.125,8.687752002846942,8.465303298298863,2.6942857142857157,8.669325989012435,0.0625,-0.22244870454807852
1426266,27.45,23.525,136.62469022380324,152.69498360760764,1.2455357142857142,1.2633928571428572,8.115366166809654,8.042709070740596,3.9250000000000007,-16.070293383804398,-0.017857142857143016,-0.07265709606905801
