match_id,t1_form,t1_win_streak,t1_avg_margin,t1_pp_rr_for,t1_pp_rr_against,t1_md_rr_for,t1_md_rr_against,t1_de_rr_for,t1_de_rr_against,t1_boundary_pct_for,t1_boundary_pct_against,t1_dot_pct_for,t1_dot_pct_against,t1_wickets_taken_5,t1_wickets_lost_5,t1_days_since_last,t1_season_match_no,t1_is_home_venue,t2_form,t2_win_streak,t2_avg_margin,t2_pp_rr_for,t2_pp_rr_against,t2_md_rr_for,t2_md_rr_against,t2_de_rr_for,t2_de_rr_against,t2_boundary_pct_for,t2_boundary_pct_against,t2_dot_pct_for,t2_dot_pct_against,t2_wickets_taken_5,t2_wickets_lost_5,t2_days_since_last,t2_season_match_no,t2_is_home_venue,form_diff,streak_diff,pp_for_diff,death_for_diff,margin_diff
1304114,0.4,0,6.2,7.248089177357471,8.474358974358974,8.303698090576495,6.524812789549631,8.567148525099189,8.259049773755656,15.740875451737486,15.172542981818452,35.3413449245473,37.956881914786855,6.4,6.2,5,13,0,0.4,1,-9.2,7.6649122807017545,6.093970893970895,7.744859117490696,8.126748768472908,9.036242884250473,10.533145948034386,17.93183328480478,16.044551807522993,35.43155627969793,33.10925775023004,4.6,5.4,5,13,0,0.0,-1,-0.4168231033442833,-0.46909435915128483,15.399999999999999
1304115,0.6,2,-3.8,8.818641718641718,7.705985337564284,7.114675324675325,8.399400905607802,10.405104364326377,8.935745089824787,18.535801071507052,17.950999636495816,38.440309959115616,33.29369463445799,6.4,5.8,5,13,0,0.6,0,0.0,7.2911915964547545,7.820325381172621,7.440726636828332,7.696407685881371,8.524837662337664,8.43524193548387,15.047160418291856,16.7588239327681,37.21294583722105,40.97604869957053,7.2,6.6,4,13,1,0.0,2,1.5274501221869636,1.8802667019887132,-3.8
1304116,0.2,1,-30.4,7.2216216216216225,7.66531713900135,8.607531577114155,8.850273990059895,7.387948028673835,11.515322580645162,16.47677119628339,19.73614576467107,37.470909794812236,31.810291925575438,4.2,7.6,5,13,0,0.4,0,5.4,8.689725352883247,8.09187365503155,6.80703913228691,7.096267942583732,12.684024064171123,8.144606261859584,18.453648853871044,15.012897660390706,38.24727199611608,35.171939898084275,7.2,6.6,6,13,0,-0.2,1,-1.4681037312616247,-5.296076035497288,-35.8
1312197,0.6,2,0.8,8.135087719298244,7.264241164241165,7.553881673881674,7.228441558441558,8.816242884250475,10.139136731444527,17.890526972683958,16.077885140856328,34.78356350830255,34.26925775023004,4.8,5.2,4,14,0,0.4,0,2.4,7.229919393077289,7.899004267425319,7.004329763803447,6.700758063991147,8.389553975436328,12.766749011857707,14.653827145483636,15.431668351870576,33.06242282366694,35.90010111223459,5.0,5.0,5,14,0,0.19999999999999996,2,0.9051683262209558,0.4266889088141461,-1.5999999999999999
1312198,0.6,1,7.2,7.731436699857753,8.340350877192982,7.77201336675021,7.714115592010328,10.389183029453017,8.963860153256704,17.364254444807017,17.721223338621538,32.105848646926084,34.74925083729949,7.2,5.6,6,14,0,0.6,1,-0.6,7.723215523215524,7.682740635372214,7.483942592711065,7.816387355334724,10.274903993855606,10.040921658986175,15.871517187698563,19.022924272037933,32.76335180339422,37.902730985702696,7.0,5.6,7,14,0,0.0,0,0.008221176642228656,0.11427903559741104,7.8
1312199,0.8,2,16.0,8.023328591749644,8.898530109056425,7.622305764411029,7.988011695906432,11.487570126227208,8.061343843843844,18.519601829662598,17.191589038495437,32.379072690641934,35.339414771725714,7.6,5.2,2,15,0,0.6,0,0.8,8.671929824561403,8.300678411204727,7.570634920634921,7.121298701298701,9.484692082111437,10.339903014969428,19.150369492369,17.174659334404716,34.15364224846003,33.100225492165535,4.8,5.4,3,15,0,0.20000000000000007,2,-0.6486012328117585,2.0028780441157714,15.2
1312200,0.6,1,1.8,8.671929824561403,8.357088667614985,7.281746031746032,7.156365913455335,9.875863559191234,9.250197132616488,18.50964738523671,15.572206969194639,35.87012641537332,34.079969436386236,5.4,5.2,2,16,0,0.6,1,17.4,7.9246562351825505,8.241251778093883,7.3253823953823956,6.62143475572047,9.112429792429793,9.494021739130435,16.638323269514643,15.526156540846955,31.045678637620433,35.629234970502296,5.8,4.0,5,15,1,0.0,0,0.7472735893788522,0.763433766761441,-15.599999999999998
1359475,0.2,0,-1.4,8.414755844024137,8.326611226611226,6.751235036389302,6.016876281613124,7.947793686389511,7.964049773755656,14.875834801330985,14.546126881591878,38.623296144059495,39.96941023679139,6.2,7.0,315,0,0,0.8,2,25.4,7.127151037677353,7.664675201517307,7.103160173160174,6.511117295403009,9.592429792429792,8.796521739130435,15.149257226949004,14.506156540846954,32.90627982243722,37.082568303835636,6.4,3.6,306,0,1,-0.6000000000000001,-2,1.287604806346784,-1.6446361060402808,-26.799999999999997
1359476,0.6,1,14.4,9.264500127658023,8.22160338476128,7.5925446845955005,6.778947368421052,16.393114973262033,8.602788080041401,20.870621518089735,15.472252499100383,34.219528218066294,34.78871409163266,7.2,6.0,314,0,0,0.6,0,12.8,7.396235912025385,7.072072072072072,7.894823597455175,7.38020202020202,9.562177672160987,8.768097722960151,17.70449647802497,14.873394032874254,39.766071702923234,35.96897463939829,6.0,7.2,318,0,0,0.0,1,1.868264215632638,6.830937301101047,1.5999999999999996
1359477,0.4,0,-4.6,7.980180180180182,7.169227121858701,7.398967223252939,7.805669651985442,10.182239901191513,11.165921658986175,15.615106931288306,19.557186757519933,34.369412409454824,37.414926107653926,6.4,6.2,311,0,1,0.6,0,-7.6,7.851975051975051,6.827814859393807,7.036806986117331,8.193256704980843,10.250692599620495,9.843681597761295,16.96440879508429,18.14707806786837,38.942088414400175,37.13504935816566,6.8,5.8,315,0,0,-0.19999999999999996,0,0.12820512820513041,-0.06845269842898105,3.0
